office-id,office-name,booking-date,product-name,article-count,postage,vas,tax,fm-charges,ps-charges,ss-charges,total_amount,avg-weight
11660940,Amartaluru S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,3,195,0,36,0,0,0,231,2160
11661121,Ambajipeta S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,7,228,0,42,0,84,0,270,2736
11661121,Ambajipeta S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,21,609,180,108,0,498,0,717,150
11661121,Ambajipeta S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,5,550,0,100,0,0,0,650,11430
11108804,Ambativalasa B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,10
11107483,Amiti B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,2,122,0,22,0,0,0,144,235
11661204,Ammajipeta S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,12,407,120,74,0,0,148,481,240
11660002,Ammaladinne S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,2,0,0,0,0,0,0,0,30
11660834,Ammanabrolu S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,1,116,0,20,0,0,0,136,2700
11660834,Ammanabrolu S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,10
11660834,Ammanabrolu S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,1,90,0,16,0,0,0,106,936
11360044,Anakapalle H.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,101,5248,540,942,0,231,0,6190,93881
11360044,Anakapalle H.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,469,13561,1070,2436,103,2341,0,15977,12331
11360044,Anakapalle H.O,2026-04-01T00:00:00+05:30,International Air Parcel,3,12135,0,2186,0,0,0,14321,57430
11360044,Anakapalle H.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,38,4595,0,832,0,0,0,5427,70428
11661426,Anandapuram S.O (Visakhapatnam),2026-04-01T00:00:00+05:30,Indiapost Parcel Contractual,4,757,0,136,0,0,0,893,18775
11661426,Anandapuram S.O (Visakhapatnam),2026-04-01T00:00:00+05:30,Indiapost parcel Retail,7,982,10,176,0,0,0,1158,24972
11661426,Anandapuram S.O (Visakhapatnam),2026-04-01T00:00:00+05:30,Inland Speed Post Document,6,181,0,32,0,0,0,213,155
11661426,Anandapuram S.O (Visakhapatnam),2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,9,1430,0,258,0,0,0,1688,21994
11660905,Anantapalli S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,3,153,0,26,0,0,0,179,245
11660905,Anantapalli S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,1,150,0,28,0,0,0,178,1560
11660003,Anantapur Collectorate S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,7,104,0,18,0,0,379,122,4583
11660003,Anantapur Collectorate S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,67,1374,100,244,0,200,2179,1618,2925
11660003,Anantapur Collectorate S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,1,90,0,16,0,0,0,106,810
11660004,Anantapur Engg College S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,1,68,0,12,0,0,0,80,1130
11360001,Anantapur H.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,37,2300,20,416,0,0,966,2716,101122
11360001,Anantapur H.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,225,8909,620,1592,0,125,1583,10197,14434
11360001,Anantapur H.O,2026-04-01T00:00:00+05:30,International Speed Post Merchandise,1,1355,0,244,0,0,0,1599,345
11360001,Anantapur H.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,31,7556,26,1360,0,0,635,8916,109829
11260001,Anantapur RMS  BOOKING Office,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,19,844,0,154,0,0,0,998,8747
11260001,Anantapur RMS  BOOKING Office,2026-04-01T00:00:00+05:30,Inland Speed Post Document,201,8222,1290,1478,0,165,1096,9631,4644
11260001,Anantapur RMS  BOOKING Office,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,4,90,0,16,0,0,285,106,3330
11660117,Anantharajupet S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,1,0,0,0,0,42,0,0,480
11660117,Anantharajupet S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,7,0,0,0,0,0,0,0,105
11108700,Ananthavaram B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,4,141,0,24,0,0,0,165,122
