office_id,office_name,mail_type_code,booking_date, total_articles , base_amount , reg_fee , pod_ack_charge , insurance_value , insurance_charge , cod_value , cod_charge , vp_value , vp_charge , cgst , sgst , otp_charge , pickup_charge , ams_charge , premailing_charge , door_delivery_charge , export_duty_inr , export_duty_usd , ddd_charge , student_discount , igst , utgst , total_amount 
11300001,Andhra Pradesh Circle,All Mail Types,09-05-2026," 29,915 "," 18,39,498 "," 7,390 "," 61,620 "," 52,100 ", 996 ," 13,46,888 "," 3,034 ", -   , -   ," 1,46,450 "," 1,46,450 ", 400 , -   , -   , -   , 765 , -   , -   , -   , 284 ," 37,813 ", -   ," 19,82,732 "
11300001,Andhra Pradesh Circle,All Mail Types,10-05-2026," 1,131 "," 1,14,746 ", 30 ," 1,160 ", -   , -   ," 2,01,254 ", -   , -   , -   ," 2,028 "," 2,028 ", -   , -   , -   , -   , 25 , -   , -   , -   , -   ," 16,582 ", -   ," 1,34,840 "
11300001,Andhra Pradesh Circle,All Mail Types,11-05-2026," 39,996 "," 21,86,244 "," 21,080 "," 92,910 "," 65,025 "," 1,535 "," 11,89,170 "," 5,222 ", -   , -   ," 1,89,484 "," 1,89,484 ", 295 , -   , 15 , -   ," 1,305 ", -   , -   , -   , -   ," 13,482 ", -   ," 22,07,049 "
11300001,Andhra Pradesh Circle,All Mail Types,12-05-2026," 49,157 "," 25,02,170 "," 25,735 "," 1,27,270 "," 2,36,200 "," 13,494 "," 15,86,322 "," 2,536 ", -   , -   ," 2,08,577 "," 2,08,577 ", 305 , -   , -   , -   ," 1,095 ", -   , -   , -   , 317 ," 32,288 ", -   ," 24,75,276 "
11300001,Andhra Pradesh Circle,All Mail Types,13-05-2026," 44,982 "," 22,77,052 "," 20,450 "," 1,21,580 "," 2,85,500 "," 7,828 "," 10,11,063 "," 1,324 ", -   , -   ," 1,91,945 "," 1,91,945 ", 325 , -   , -   , -   ," 1,200 ", -   , -   , -   , -   ," 24,972 ", -   ," 21,79,879 "
11300001,Andhra Pradesh Circle,All Mail Types,14-05-2026," 47,034 "," 24,03,861 "," 21,360 "," 1,12,880 "," 34,580 "," 1,046 "," 11,41,044 "," 2,530 ", -   , -   ," 1,96,265 "," 1,96,265 ", 235 , -   , -   , -   ," 1,270 ", -   , -   , -   , 97 ," 38,972 ", -   ," 23,36,627 "
11300001,Andhra Pradesh Circle,All Mail Types,15-05-2026," 47,059 "," 24,85,082 "," 20,065 "," 1,20,120 "," 1,11,351 "," 3,989 "," 11,69,665 "," 1,963 ", -   , -   ," 2,11,099 "," 2,11,099 ", 260 , -   , -   , -   ," 1,430 ", -   , -   , -   , -   ," 24,064 ", -   ," 24,11,881 "
11300001,Andhra Pradesh Circle,All Mail Types,16-05-2026," 43,409 "," 23,34,233 "," 14,215 "," 1,10,150 "," 66,650 "," 2,527 "," 15,59,188 "," 4,870 ", -   , -   ," 1,88,878 "," 1,88,878 "," 1,135 ", -   , -   , -   ," 1,290 ", -   , -   , -   , -   ," 41,277 ", -   ," 23,54,323 "
11300001,Andhra Pradesh Circle,All Mail Types,17-05-2026, 873 ," 60,687 ", 170 ," 3,350 ", -   , -   ," 56,339 ", -   , -   , -   ," 3,536 "," 3,536 ", -   , -   , -   , -   , 20 , -   , -   , -   , -   ," 3,843 ", -   ," 67,771 "
11300001,Andhra Pradesh Circle,All Mail Types,18-05-2026," 45,472 "," 25,64,610 "," 22,100 "," 1,18,720 "," 1,24,250 "," 4,691 "," 11,99,195 "," 3,836 ", -   , -   ," 2,19,314 "," 2,19,314 ", 370 , -   , -   , -   ," 1,665 "," 3,399 ", -   , -   , -   ," 21,755 ", -   ," 25,61,989 "
