Office ID,Office Name,Booking Date,Product Name,Walk-in Customer,Registered Bulk,On Postal Service,Govt Service,Walk-in Non-Commercial,Non-Commercial,Commercial,E-commerce,PIDPI,Student Mail,Others,Walk-in Commercial,Walk-in E-commerce,Bulk Non-Commercial,Bulk Commercial,Bulk E-commerce,BO Rebooking,Free Active Service,Inter FPO
11661205,Annavaram S.O,01-04-2026,All Products,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661123,Antarvedipalem S.O,01-04-2026,All Products,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11106040,Anumalapalle B.O,01-04-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660777,Anumasamudrampeta S.O,01-04-2026,All Products,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660906,Aphb Colony S.O,01-04-2026,All Products,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11100416,Appa Rao Street B.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660634,Apsp Colony(Mangalagiri) S.O,01-04-2026,All Products,92,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661489,Apsp Quarters S.O,01-04-2026,All Products,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661159,Araku Colony S.O,01-04-2026,All Products,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661160,Araku Rs S.O,01-04-2026,All Products,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660451,Aravalli S.O,01-04-2026,All Products,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660005,Aravindanagar S.O,01-04-2026,All Products,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661072,Ardhaveedu S.O,01-04-2026,All Products,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661428,Arilova S.O,01-04-2026,All Products,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107889,Arthamuru B.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660065,Arugonda S.O,01-04-2026,All Products,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660722,Arundalpet NDTSO,01-04-2026,All Products,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661300,Aryapuram S.O,01-04-2026,All Products,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660511,Ashok Nagar S.O West Godavari,01-04-2026,All Products,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660225,Ashoknagar S.O Kurnool,01-04-2026,All Products,54,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660226,Aspari S.O,01-04-2026,All Products,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660723,Atchampet S.O,01-04-2026,All Products,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660452,Atchanta S.O,01-04-2026,All Products,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661161,Atchutapuram S.O,01-04-2026,All Products,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107208,Atchutapuratriam B.O,01-04-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660119,Atlur S.O,01-04-2026,All Products,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660006,Atmakur -ATP- S.O,01-04-2026,All Products,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660284,Atmakur S.O,01-04-2026,All Products,51,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660779,Atmakur SO,01-04-2026,All Products,30,11,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661124,Atreyapuram S.O,01-04-2026,All Products,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660453,Attili S.O,01-04-2026,All Products,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660996,Aukiripalli S.O,01-04-2026,All Products,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660997,Autonagar S.O,01-04-2026,All Products,33,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360026,Avanigadda H.O,01-04-2026,All Products,19,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660998,Azitnagar S.O,01-04-2026,All Products,153,20,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11661430,B H P V S.O,01-04-2026,All Products,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108813,B S Factory B.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660999,Bacon Factory S.O,01-04-2026,All Products,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108224,Badam B.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105346,Badampudi B.O,01-04-2026,All Products,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107496,Badangi B.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660121,Badvel S.O,01-04-2026,All Products,47,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660066,Baireddipalle S.O,01-04-2026,All Products,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661361,Bairisingupuram S.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660227,Balaji Nagar S.O,01-04-2026,All Products,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660780,Balajinagar S.O,01-04-2026,All Products,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660332,Balapanur S.O,01-04-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660682,Balaramunipet S.O,01-04-2026,All Products,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660122,Balathimmayyagaripalli S.O,01-04-2026,All Products,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661257,Balijipeta S.O,01-04-2026,All Products,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105347,Ballipadu B.O,01-04-2026,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660285,Banaganapalle S.O,01-04-2026,All Products,46,13,4,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0
11660286,Banaganapalle South S.O,01-04-2026,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661125,Bandarlanka S.O,01-04-2026,All Products,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660287,Bandi Atmakur S.O,01-04-2026,All Products,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660724,Bandlamottu S.O,01-04-2026,All Products,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660067,Bangarupalem S.O,01-04-2026,All Products,16,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660590,Bangarupeta S.O,01-04-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660556,Bantumilli S.O,01-04-2026,All Products,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660944,Bapatla Engg College S.O,01-04-2026,All Products,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360036,Bapatla H.O,01-04-2026,All Products,125,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661363,Baruva S.O,01-04-2026,All Products,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660907,Basivireddipeta S.O,01-04-2026,All Products,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660683,Batchupet S.O,01-04-2026,All Products,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660172,Bathalapalli S.O,01-04-2026,All Products,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661364,Battili S.O,01-04-2026,All Products,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11107503,Batuva B.O,01-04-2026,All Products,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660068,Beerangi Kothakota S.O,01-04-2026,All Products,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660228,Belagal S.O,01-04-2026,All Products,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660007,Belguppa S.O,01-04-2026,All Products,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660725,Bellamkonda S.O,01-04-2026,All Products,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661126,Bendamurlanka S.O,01-04-2026,All Products,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660513,Benerjipeta S.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661073,Besthavari  Peta S.O,01-04-2026,All Products,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660229,Bethamcherla S.O,01-04-2026,All Products,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660381,Bhakarapet S.O,01-04-2026,All Products,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660684,Bhaskarapuram S.O,01-04-2026,All Products,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661208,Bhaskarnagar S.O,01-04-2026,All Products,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660945,Bhattiprolu S.O,01-04-2026,All Products,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660382,Bhavani Nagar S.O,01-04-2026,All Products,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661000,Bhavanipuram S.O,01-04-2026,All Products,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
